Rk,School,Conf,ConfStr,AdjEM,AdjO,SDO,AdjD,SDD,AdjT,SDP,Record,Home,Neutral,Away,Q1,Q2,Q3,Q4
74.0,Michigan State,Big Ten,8.724533341990082,9.722538979285147,104.58506147563006,12.976756003938531,94.86252249634491,14.55628136705126,69.4152458921549,14.55628136705126,[21-13],[12-2],[4-4],[5-7],[3-8],[8-4],[5-1],[5-0]
75.0,Penn State,Big Ten,8.724533341990082,9.71276868002154,110.26459229232267,15.417937519992474,100.55182361230113,17.188759328388628,68.39177742251168,17.188759328388628,[23-14],[13-4],[6-3],[4-7],[5-7],[7-5],[3-2],[8-0]
76.0,Santa Clara,WCC,6.922509813696621,9.554335434555995,107.10167169970407,11.364574602116805,97.54733626514808,13.124623057707762,72.31526090876434,13.124623057707762,[22-10],[13-5],[3-2],[6-3],[3-6],[2-0],[7-3],[10-1]
77.0,Ohio State,Big Ten,8.724533341990082,9.544748221862335,108.90710411937795,16.847161962977108,99.36235589751561,18.40001900081695,70.05050152934267,18.40001900081695,[16-19],[10-6],[5-3],[1-10],[2-12],[7-4],[1-2],[6-1]
78.0,Southern Mississippi,Sun Belt,1.3382678718964485,9.43594773611025,105.72448770871239,13.724545854049637,96.28853997260214,16.382543915331162,69.68511700807551,16.382543915331162,[22-8],[12-0],[2-1],[8-7],[1-2],[2-4],[7-2],[12-0]
79.0,Missouri,SEC,6.977958743424949,9.274145121335962,112.36667346945558,17.802952310358794,103.09252834811961,19.761298459075007,73.79334533880895,19.761298459075007,[25-10],[16-3],[4-2],[5-5],[5-5],[4-5],[6-0],[10-0]
80.0,Michigan,Big Ten,8.724533341990082,9.170343414669887,105.8722634697893,14.150377183642645,96.70192005511942,15.773927285082124,71.4533510718585,15.773927285082124,[18-16],[13-4],[2-4],[3-8],[2-11],[6-2],[4-2],[6-1]
81.0,Oregon,Pac-12,4.339152644880173,9.059438857438693,105.45965305696866,15.670802480922944,96.40021419952997,17.89083727584882,71.54424296566562,17.89083727584882,[21-15],[15-6],[2-3],[4-6],[1-6],[3-4],[10-5],[7-0]
82.0,Nevada,MWC,6.732010734582303,9.001634365651867,105.87942435625035,13.30919162016895,96.87778999059849,15.089014344963545,69.30011691313379,15.089014344963545,[21-11],[13-1],[2-3],[6-7],[4-3],[2-4],[8-4],[7-0]
83.0,Mississippi State,SEC,6.977958743424949,8.953728425441582,98.59451386131995,14.691326120869002,89.64078543587837,17.46034628666571,68.59504449569799,17.46034628666571,[21-13],[12-4],[5-3],[4-6],[2-7],[4-3],[4-3],[11-0]
